Ruta original,Nombre archivo,Extensión,Cantidad páginas,Idioma detectado,Fabricante inferido,Modelo inferido,Estado curaduría,Tipo documental sugerido,Alerta automática,Rol habilitado,Versión / revisión,Observaciones
Manuales-20260528T010304Z-3-001/Manuales/Electrobisturi/Leep System 1000.pdf,Leep System 1000.pdf,.pdf,25,Inglés,,Electrobisturi LEEP System 1000,Pendiente,Sin clasificar,Sin alerta automática,,,
Manuales-20260528T010304Z-3-001/Manuales/Electrobisturi/LEEP-user-manual.pdf,LEEP-user-manual.pdf,.pdf,196,Inglés,,Electrobisturi LEEP System 1000,Pendiente,Sin clasificar,Requiere revision OCR,,,
Manuales-20260528T010304Z-3-001/Manuales/Electrobisturi/Valleylab Force FX-C ESU - Service manual.pdf,Valleylab Force FX-C ESU - Service manual.pdf,.pdf,214,Inglés,Valleylab,Electrobisturi Valleylab Force FX-8C,Pendiente,Manual de servicio,Requiere revision OCR,,,
Manuales-20260528T010304Z-3-001/Manuales/Electrobisturi/Valleylab_Force_FX-8c_Electrosurgical_Generator_-_Service_manual.pdf,Valleylab_Force_FX-8c_Electrosurgical_Generator_-_Service_manual.pdf,.pdf,218,Inglés,Valleylab,Electrobisturi Valleylab Force FX-8C,Pendiente,Sin clasificar,Sin alerta automática,,,
Manuales-20260528T010304Z-3-001/Manuales/Leica TP1020/Manual de Servicio Procesador de Tejidos Leica TP 1020 (Inglés).pdf,Manual de Servicio Procesador de Tejidos Leica TP 1020 (Inglés).pdf,.pdf,320,Inglés,Leica,TP1020,Pendiente,Manual de servicio,Requiere revision OCR,,,
Manuales-20260528T010304Z-3-001/Manuales/Leica TP1020/Manual de Usuario Micrótomo de Rotación Leica RM2125 RTS.pdf,Manual de Usuario Micrótomo de Rotación Leica RM2125 RTS.pdf,.pdf,70,Español,Leica,RM2125 RTS,Pendiente,Manual de usuario,Conflicto carpeta / equipo,,,
Manuales-20260528T010304Z-3-001/Manuales/Sterrad/Manual de Servicio Esterilizadora Sterrad 100 (Ing).pdf,Manual de Servicio Esterilizadora Sterrad 100 (Ing).pdf,.pdf,309,Inglés,ASP / Sterrad,Sterrad 100,Pendiente,Manual de servicio,Requiere revision OCR,,,
Manuales-20260528T010304Z-3-001/Manuales/Ventiladores mecánicos/Engstrom carestation/Guia Rapida para enfermeras.pdf,Guia Rapida para enfermeras.pdf,.pdf,14,Inglés,ASP / Sterrad,Sterrad 100,Pendiente,Guía rápida,Conflicto carpeta / equipo,,,
Manuales-20260528T010304Z-3-001/Manuales/Ventiladores mecánicos/Engstrom carestation/Manual de usuario Engstrom Carestation - ANEXO- ES.pdf,Manual de usuario Engstrom Carestation - ANEXO- ES.pdf,.pdf,2,Español,GE,Ventilador GE Engstrom Carestation,Pendiente,Manual de usuario,Sin alerta automática,,,
Manuales-20260528T010304Z-3-001/Manuales/Ventiladores mecánicos/Engstrom carestation/Manual de usuario Engstrom Carestation - ES.pdf,Manual de usuario Engstrom Carestation - ES.pdf,.pdf,274,Español,GE,Ventilador GE Engstrom Carestation,Pendiente,Manual de usuario,Sin alerta automática,,,
Manuales-20260528T010304Z-3-001/Manuales/Ventiladores mecánicos/Engstrom carestation/Manual Service Engstrom.pdf,Manual Service Engstrom.pdf,.pdf,202,Inglés,GE,Ventilador GE Engstrom Carestation,Pendiente,Sin clasificar,Duplicado exacto,,,
Manuales-20260528T010304Z-3-001/Manuales/Ventiladores mecánicos/Engstrom carestation/Ventilacion No Invasiva.pdf,Ventilacion No Invasiva.pdf,.pdf,6,Español,GE,Ventilador GE Engstrom Carestation,Pendiente,Sin clasificar,Sin alerta automática,,,
Manuales-20260528T010304Z-3-001/Manuales/Ventiladores mecánicos/Manual Técnico Ventilador Engström (Español).pdf,Manual Técnico Ventilador Engström (Español).pdf,.pdf,326,Español,GE,Ventilador GE Engstrom Carestation,Pendiente,Manual técnico,Sin alerta automática,,,
